,titles,,
13,"문대통령, 수능 방역현장 점검…""수험생 안전에 최선""||||文대통령, D-4 수능 대비 시험장 방역 준비 상황 점검||||수능 앞두고 시험장 찾은 文대통령…코로나19 방역 점검||||수능시험장 찾은 文대통령 ""방역준비 철저히 해달라""||||문대통령, '수능 D-4' 방역현장 점검…""수험생 안전 최선""",,
14,"화이자-바이오엔테크 백신, 5∼11세 아동에 91% 예방효과||||화이자 ""5~11세 예방 효과 90%↑"" 저연령층 접종 승인 초읽기||||화이자 ""바이오엔테크와 개발한 코로나 백신, 어린이에 90% 예방효과""||||화이자 백신, 5~11세 어린이에 90.7% 예방효과||||화이자 ""코로나19 백신 아동 접종 효과 91%""",'91%'||||'90%'||||'90%'||||'90.7%'||||'91%','91'||||'90'||||'90'||||'90.7'||||'91'
15,"'현존 최고의 코로나19 백신' 굳혀가는 모더나…대부분 연구에서 화이자에 勝||||""모더나가 화이자보다 효과 더 오래간다""||||화이자보다 모더나가 낫다?…""효과 좀 더 좋고 오래가""||||NYT ""모더나 백신, 화이자보다 효과 오래 지속""||||""시간 지난 뒤 백신효과 따지면 모더나가 화이자보다 낫다""",,
16,"대선 4자구도에 與도 野도 비상…단일화·3지대 변수||||안철수 '대선 3수' 공식화…야권, '단일화' 두고 셈법 복잡해져||||안철수, 1일 대선 출마 선언…국민의힘, 벌써부터 '야권 단일화'||||세번째 대선 도전 안철수, 국민의힘과 단일화 할까||||안철수, 내일 세 번째 대선 출사표…야권 단일화 변수로",,
17,"요소수 산업용→차량용 전환 사용 당장은 불가…추가실험 필요(종합)||||산업용→차량용 요소수 전환 결론 못내…""추가 기술 검토 필요""||||요소수 산업용→차량용 전환 사용 당장은 불가…추가실험 필요||||요소수 '산업→차량용' 전환 테스트…""배출 기준 충족""(종합)||||요소수 '산업용→차량용 전환' 당장은 안 된다",,
18,"방역당국 ""1주새 코로나19 확진자 221.9명 감소, 유행 수준 더 낮춰야""||||당국 ""3차 유행 계속 감소""…교회·요양원·개인접촉 위험 '불씨'||||전세계 신규확진 감소세 한층 뚜렷해져…16일 61.4만명||||""코로나 3차 유행 감소세…거리두기 지켜달라""||||""3차 유행 극명한 감소세…더 줄어야 거리두기 조정""",'221.9명'||||'61.4만명',"'221.9'||||'614,000.0'"
19,"'정치자금법 위반' 혐의 정정순, 21대 국회 첫 구속 '불명예'||||'회계부정 혐의' 정정순 의원 구속…21대 국회 첫 사례||||'회계부정' 혐의 정정순 의원 구속…21대 국회 첫 사례||||부정선거 혐의 정정순 구속…21대 국회 첫 사례 '오명'(종합)||||'부정 선거 의혹' 與 정정순 의원 구속…21대 국회 첫 구속 불명예",,
20,"원주 타이어 정비공장서 큰불…인근 KTX 열차 7대 운행 중단(종합)||||원주 타이어 정비공장서 화재 발생…KTX강릉선 운행 차질||||고속철도 옆 공장 화재…강릉선 서원주~만종 구간 운행 중단||||강원 원주 타이어 정비 공장 화재…소방당국, 2단계 대응||||[단독]원주 철로변서 대형 화재…서울~강릉 양방항 KTX 멈춰",,
21,"[전문] 이근 대위 성추행 피해자 측 ""허위주장 충격…2차 가해 대응할 것""||||이근 성추행 피해자 측 ""허위 주장 충격+유감…2차 가해 강력 법적대응""||||성추행 판결 '억울'하다는 이근…피해자 측 ""2차 가해 우려"" [이슈]||||[공식]이근 성추행 피해자 ""이근 사실 부인 충격, 2차 가해 심각해 법적대응""[전문]||||이근 대위 성추행 피해자 ""큰 충격…2차 가해 대응""",,
22,"""컴백後·꼴도보기 싫다고"" 쯔양, '라스' 떴다…먹방만큼 통 큰 '기부' 클라쓰 [Oh!쎈 종합]||||'라스' 쯔양, 은퇴 번복→ 뒷광고 '해명'…이봉원 ""김태희x전지현보다 박미선♥""(종합)||||'라디오스타' 여에스더 ""연매출 500억""→쯔양 ""뒷광고? 와전 탓 사기꾼돼""[종합]||||'라스' 쯔양, 솔직하게 다 밝혔다…#몸무게 #은퇴 번복 #대식가 DNA(종합)||||'라스' 쯔양, 은퇴 번복 비하인드→여에스더, 남편 홍혜걸 해임 근황 [종합]",,
